SUBJECT,NBR,COURSE NAME,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D,F,W,AVG GPA
MATH,122,Precalculus,"ARCHETTI, M",30,0,4,1,2,5,3,1,0,2,2,3,7,2.483
MATH,122,Precalculus,"OZKAN, E",33,0,3,3,3,0,0,1,1,3,2,2,14,2.467
MATH,122,Precalculus,"MARKOWITZ, E",33,2,4,2,0,3,2,2,2,3,2,3,7,2.46
MATH,122,Precalculus,"FLYNN, D",33,4,2,0,1,3,3,5,5,3,3,2,2,2.387
MATH,122,Precalculus,"JOSEPH, M",28,2,1,1,1,1,0,0,1,2,0,3,15,2.283
MATH,122,Precalculus,"TOLEDO, D",28,2,1,1,1,1,0,0,1,2,0,3,15,2.283
MATH,122,Precalculus,"BEGA, J",33,3,2,0,1,1,1,2,4,3,3,3,10,2.161
MATH,122,Precalculus,"LEE, H",18,2,0,1,0,0,0,2,4,3,3,0,3,2.16
MATH,122,Precalculus,"LEE, D",30,0,1,1,2,3,4,0,2,6,2,4,5,2.012
MATH,122,Precalculus,"YUABOV, D",34,1,3,0,1,2,0,1,1,0,1,8,16,1.7
MATH,122,Precalculus,"OZKAN, E",32,0,1,0,1,2,0,4,2,3,4,4,10,1.695
MATH,122,Precalculus,"TOLEDO, D",33,0,2,1,0,3,0,0,2,1,1,7,15,1.612
MATH,122,Precalculus,"BEGA, J",33,0,0,1,2,1,0,1,3,2,5,5,13,1.5
MATH,122,Precalculus,"DHARMA, J",31,2,0,1,1,0,2,0,1,0,0,10,12,1.318
MATH,122,Precalculus,"GANT, S",29,1,0,1,0,2,0,1,3,1,0,10,10,1.247
MATH,122,Precalculus,"DHARMA, J",33,0,1,0,0,0,2,0,5,2,0,9,13,1.2
MATH,122,Precalculus,"CLARKE, A",20,0,0,0,0,1,0,0,1,0,4,4,9,0.9
MATH,141,Calculus/Differentiation,"SULTAN, Z",15,2,2,1,1,1,2,1,0,0,0,0,4,3.37
MATH,141,Calculus/Differentiation,"WEN, C",30,6,6,2,3,2,2,1,2,0,0,2,4,3.192
MATH,141,Calculus/Differentiation,"ERLBAUM, S",30,1,5,1,4,3,2,0,0,2,3,1,7,2.805
MATH,141,Calculus/Differentiation,"FLYNN, D",30,2,4,2,2,6,2,1,4,1,2,1,3,2.793
MATH,141,Calculus/Differentiation,"KALRA, P",21,0,1,2,2,2,2,1,4,1,1,0,4,2.65
MATH,141,Calculus/Differentiation,"WEN, C",30,3,1,2,1,4,4,0,0,3,3,1,8,2.618
MATH,141,Calculus/Differentiation,"LORD, A",29,1,2,3,4,1,1,1,0,2,0,4,9,2.511
MATH,141,Calculus/Differentiation,"BROGES, A",20,2,2,2,4,0,1,0,0,1,4,2,2,2.5
MATH,141,Calculus/Differentiation,"WANG, A",30,3,2,2,2,3,0,1,2,1,3,4,7,2.348
MATH,141,Calculus/Differentiation,"LI, H",30,1,2,1,3,1,1,2,1,7,2,2,7,2.252
MATH,141,Calculus/Differentiation,"KIMATOV, M",30,4,0,3,1,1,2,2,2,1,4,4,5,2.213
MATH,141,Calculus/Differentiation,"MILLER, R",29,0,0,0,0,3,2,0,1,3,2,2,14,1.808
MATH,141,Calculus/Differentiation,"LEE, D",20,1,0,0,1,1,1,0,2,2,1,3,8,1.783
MATH,141,Calculus/Differentiation,"NICASTRO, S",29,2,1,1,0,2,0,3,3,2,4,6,5,1.75
MATH,141,Calculus/Differentiation,"NEVAREZ, B",30,0,2,0,0,2,1,3,3,2,1,7,9,1.619
MATH,141,Calculus/Differentiation,"GANT, S",30,0,0,0,1,0,1,3,1,3,5,3,12,1.471
MATH,142,Calculus/Integration,"ERLBAUM, S",35,1,6,4,3,0,5,0,1,3,1,2,9,2.858
